X,Y,Cluster
4.002212,3.638380,0.000000
3.528260,3.811785,0.000000
2.824013,3.056710,0.000000
3.110992,3.610476,0.000000
1.173963,3.188616,0.000000
2.453966,3.941912,0.000000
2.091421,3.813878,0.000000
2.261935,3.662678,0.000000
2.234973,3.584954,0.000000
2.998409,3.962945,0.000000
2.034596,3.811164,0.000000
2.864430,3.162795,0.000000
3.154862,2.795677,0.000000
3.511262,3.266945,0.000000
2.215335,3.830881,0.000000
1.343361,3.043643,0.000000
2.548343,3.731211,0.000000
2.938095,3.289567,0.000000
2.515470,3.481121,0.000000
1.694270,3.789068,0.000000
3.056457,4.140091,0.000000
1.609559,3.710037,0.000000
3.417517,3.334311,0.000000
3.067560,4.040848,0.000000
4.716098,3.421281,0.000000
0.213043,3.281553,0.000000
2.170470,2.932743,0.000000
2.586053,2.744626,0.000000
2.310666,3.766703,0.000000
3.134093,3.899586,0.000000
3.203026,4.141848,0.000000
2.725714,2.685776,0.000000
2.391804,3.564232,0.000000
1.944230,3.735911,0.000000
2.424475,3.692522,0.000000
2.621653,3.492389,0.000000
2.443143,4.058642,0.000000
2.787372,4.754987,0.000000
3.342979,3.182054,0.000000
3.259996,4.505669,0.000000
2.951822,2.853376,0.000000
3.644902,3.949017,0.000000
2.327026,2.821863,0.000000
0.223968,2.473253,0.000000
3.277919,3.005879,0.000000
2.760677,3.580090,0.000000
3.529913,3.707388,0.000000
3.509956,2.865064,0.000000
3.128688,3.180472,0.000000
2.528672,4.246640,0.000000
2.201863,3.807417,0.000000
3.718303,3.482962,0.000000
2.825523,3.003986,0.000000
2.064703,3.848542,0.000000
3.881207,3.581140,0.000000
2.707323,3.802575,0.000000
2.651640,4.204582,0.000000
1.618392,4.237984,0.000000
3.356105,3.144965,0.000000
2.356622,3.076879,0.000000
2.927503,4.161911,0.000000
1.456666,2.941803,0.000000
3.226268,3.687019,0.000000
2.943983,3.681100,0.000000
2.870574,3.224234,0.000000
1.813903,3.345595,0.000000
2.245254,2.684623,0.000000
2.806509,3.751318,0.000000
3.325410,3.631041,0.000000
2.667621,2.998395,0.000000
0.903224,3.214582,0.000000
3.195775,2.733215,0.000000
2.332924,3.601194,0.000000
3.187825,3.114169,0.000000
2.630358,4.026828,0.000000
3.124013,3.550759,0.000000
1.888613,2.107451,0.000000
3.047610,2.850525,0.000000
2.628993,3.027469,0.000000
2.854400,4.297445,0.000000
2.223630,3.928017,0.000000
2.239386,4.410270,0.000000
1.997471,2.997407,0.000000
2.538847,2.976045,0.000000
2.737737,3.216813,0.000000
1.500650,3.333160,0.000000
2.341193,3.889928,0.000000
1.653888,3.735872,0.000000
2.520504,2.601910,0.000000
2.155483,2.496480,0.000000
4.081385,3.413801,0.000000
2.110001,3.858213,0.000000
2.790510,3.473118,0.000000
2.546615,4.147294,0.000000
2.531706,4.469686,0.000000
1.906407,2.931886,0.000000
1.516010,3.235958,0.000000
2.452457,3.426603,0.000000
2.769153,2.709804,0.000000
2.417023,4.548105,0.000000
3.260093,3.610003,0.000000
2.350356,2.968876,0.000000
2.395313,3.777212,0.000000
2.390145,3.974023,0.000000
3.864052,3.593160,0.000000
3.910532,3.666550,0.000000
2.356218,4.267229,0.000000
3.331681,3.498673,0.000000
4.759954,3.859228,0.000000
2.619158,3.764420,0.000000
2.851460,3.175197,0.000000
2.213345,3.074822,0.000000
2.042011,3.572810,0.000000
2.972148,3.557834,0.000000
1.930733,3.694826,0.000000
2.348498,3.157170,0.000000
1.879029,3.271101,0.000000
2.127741,3.712262,0.000000
2.103875,3.993435,0.000000
2.731237,3.260139,0.000000
2.723718,3.549730,0.000000
1.335404,3.331564,0.000000
3.153357,3.410522,0.000000
2.518492,2.850196,0.000000
3.449011,3.908457,0.000000
3.475055,3.945081,0.000000
2.949174,3.661634,0.000000
2.899794,2.373786,0.000000
2.470244,2.475517,0.000000
2.039008,3.442083,0.000000
2.070578,3.709914,0.000000
2.760883,4.065867,0.000000
1.861520,3.461329,0.000000
2.928798,4.384944,0.000000
1.270069,2.808223,0.000000
2.219735,3.892700,0.000000
1.868149,3.347022,0.000000
2.905783,3.847013,0.000000
3.315623,4.124670,0.000000
3.138195,2.227125,0.000000
2.375258,3.545843,0.000000
3.507407,2.024632,0.000000
2.305270,4.003304,0.000000
1.277221,3.438338,0.000000
3.113419,3.563288,0.000000
2.463555,1.640520,0.000000
2.746785,3.893671,0.000000
2.455937,2.887522,0.000000
2.491825,3.434666,0.000000
3.126287,3.238111,0.000000
2.446889,4.679121,0.000000
2.458253,4.222408,0.000000
2.406547,3.505995,0.000000
2.044722,3.465185,0.000000
0.593138,2.740977,0.000000
1.614786,3.299835,0.000000
1.902048,4.379247,0.000000
2.294426,2.614912,0.000000
1.895602,3.833693,0.000000
2.829416,3.676880,0.000000
2.748271,3.421132,0.000000
1.503507,3.940156,0.000000
1.592112,3.086480,0.000000
3.394787,3.577525,0.000000
2.239362,3.574741,0.000000
3.463400,3.858264,0.000000
2.399597,2.424821,0.000000
2.623909,4.139940,0.000000
2.962759,3.018940,0.000000
2.222540,3.676030,0.000000
3.062086,3.686389,0.000000
2.522686,4.160600,0.000000
1.291046,3.143007,0.000000
2.341678,3.040234,0.000000
0.994966,3.684570,0.000000
1.638363,3.428803,0.000000
2.728100,3.142594,0.000000
3.529178,4.011334,0.000000
1.079815,3.262584,0.000000
2.145979,3.558597,0.000000
3.056644,3.932443,0.000000
2.175655,4.429393,0.000000
2.455478,3.474538,0.000000
2.622677,2.387245,0.000000
3.640004,3.646670,0.000000
2.522405,4.222836,0.000000
2.155223,2.880263,0.000000
2.554283,3.390656,0.000000
2.878722,3.670346,0.000000
1.687501,2.895496,0.000000
0.902076,2.675539,0.000000
3.833742,4.069421,0.000000
1.604023,4.027435,0.000000
1.362721,3.170372,0.000000
2.764601,3.254084,0.000000
2.860105,4.533630,0.000000
3.097034,3.157652,0.000000
2.293157,3.384306,0.000000
2.733375,3.884659,0.000000
2.036080,2.869395,0.000000
3.283176,4.185842,0.000000
3.210264,3.698696,0.000000
2.143484,3.136968,0.000000
1.218975,3.007670,0.000000
2.763097,3.393129,0.000000
3.445796,3.824173,0.000000
2.608575,2.912504,0.000000
3.151649,3.925450,0.000000
3.266608,4.244118,0.000000
2.720334,3.986967,0.000000
3.326266,3.476000,0.000000
2.177437,3.515163,0.000000
2.317310,3.270067,0.000000
1.656322,3.178395,0.000000
2.635111,3.593251,0.000000
1.769192,3.485449,0.000000
2.702432,3.818143,0.000000
1.994911,3.626386,0.000000
3.373225,2.563470,0.000000
2.394739,3.244477,0.000000
2.435852,2.836437,0.000000
3.713024,3.391210,0.000000
2.177502,3.639387,0.000000
3.152921,2.506113,0.000000
2.457505,3.560636,0.000000
3.514093,3.955740,0.000000
2.287222,4.362736,0.000000
3.372762,3.572860,0.000000
2.499757,4.215124,0.000000
3.536856,3.773553,0.000000
1.860331,3.625529,0.000000
1.825867,4.023615,0.000000
3.065904,3.780571,0.000000
3.151190,4.351395,0.000000
2.898491,4.179352,0.000000
2.571397,3.436136,0.000000
